species_label,species,diameter_class,wood_bark,new_label,lab_unique,T_C,T_N,Tannins,NDF_per,ADF_per,ADL_per,Ca_g_kg,K_g_kg,Mg_g_kg,Mn_mg_kg,P_g_kg,T_sugar_per,T_Si_g_kg
5,Celastrus monospermus,4.0 cm,wood,LW06BR1,C2023-5252,456,7.5,0.26,77.17,56.26,19.42,23.35,6.52,0.9,3.3,0.67,1.34,0.1
5,Celastrus monospermus,4.0 cm,wood,LW06BR2,C2023-5253,459,7.93,0.44,74.73,55.88,18.69,23.44,6.08,0.85,4.6,0.79,1.91,0.38
6,Aspidopterys obcordata,2.0 cm,wood,LW07SR1,C2023-5254,436,10.61,2.25,79.09,64.51,23.58,41.66,5.56,2.2,132.3,0.76,4,0.73
6,Aspidopterys obcordata,2.0 cm,wood,LW07SR2,C2023-5255,430,10.09,2.74,77.53,63.27,23.56,49.41,5.79,2.31,164.1,0.74,4.56,0.21
6,Aspidopterys obcordata,4.0 cm,wood,LW07BR1,C2023-5256,432,9.9,3.98,76.71,63.2,23.03,54.18,5.84,3.34,344.7,0.8,3.78,0.62
6,Aspidopterys obcordata,4.0 cm,wood,LW07BR2,C2023-5257,431,10.53,2.89,79.26,64.65,22.99,45.6,5.87,2.2,134.5,0.76,4.1,0.41
7,Ventilago leiocarpa,2.0 cm,wood,LW11SR1,C2023-5267,473,6.77,0.03,90.27,71.84,20.22,13.03,4.98,0.54,7.2,1.01,0.22,
7,Ventilago leiocarpa,2.0 cm,wood,LW11SR2,C2023-5268,467,7.47,0.07,90.48,72.21,19.69,17.66,4.25,0.66,10.3,0.91,0.27,0.21
7,Ventilago leiocarpa,4.0 cm,wood,LW11BR1,C2023-5269,474,7.06,0.15,91.4,74.67,22.68,16.44,3.81,0.73,9.2,0.89,0.35,0.1
7,Ventilago leiocarpa,4.0 cm,wood,LW11BR2,C2023-5270,475,8.16,0.2,90.71,73.61,22.07,17.19,3.77,0.77,10.7,0.94,0.41,0.31
8,Pottsia laxiflora,2.0 cm,wood,LW13SR1,C2023-5275,461,8.34,1.1,83.08,67.76,16.06,11.68,15.56,2.04,36.2,1.36,3.44,0.41
8,Pottsia laxiflora,2.0 cm,wood,LW13SR2,C2023-5276,465,8.61,0.9,82.8,67.53,15.82,10.46,15.15,1.93,25.7,1.32,3.59,0.41
